Price,Close
Ticker,SPY
Date,
1993-01-29,34.18
1993-02-01,34.42
1993-02-02,34.49
1993-02-03,34.86
1993-02-04,35.01
1993-02-05,34.98
1993-02-08,34.98
1993-02-09,34.74
1993-02-10,34.79
1993-02-11,34.96
1993-02-12,34.69
1993-02-16,33.82
1993-02-17,33.79
1993-02-18,33.77
1993-02-19,33.89
1993-02-22,34.01
1993-02-23,33.99
1993-02-24,34.42
1993-02-25,34.49
1993-02-26,34.55
1993-03-01,34.45
1993-03-02,34.96
1993-03-03,35.11
1993-03-04,34.91
1993-03-05,34.81
1993-03-08,35.59
1993-03-09,35.47
1993-03-10,35.54
1993-03-11,35.44
1993-03-12,35.08
1993-03-15,35.25
1993-03-16,35.25
1993-03-17,35.03
1993-03-18,35.25
1993-03-19,35.29
1993-03-22,35.1
1993-03-23,35.17
1993-03-24,35.17
1993-03-25,35.39
1993-03-26,35.2
1993-03-29,35.34
1993-03-30,35.44
1993-03-31,35.42
1993-04-01,35.29
1993-04-02,34.56
1993-04-05,34.73
1993-04-06,34.63
1993-04-07,34.75
1993-04-08,34.7
1993-04-12,35.2
1993-04-13,35.27
1993-04-14,35.22
1993-04-15,35.22
1993-04-16,35.22
1993-04-19,35.07
1993-04-20,34.9
1993-04-21,34.88
1993-04-22,34.44
1993-04-23,34.29
1993-04-26,34.02
1993-04-27,34.39
1993-04-28,34.31
1993-04-29,34.46
1993-04-30,34.51
1993-05-03,34.73
1993-05-04,34.85
1993-05-05,34.95
1993-05-06,34.83
1993-05-07,34.75
1993-05-10,34.83
1993-05-11,34.98
1993-05-12,34.92
1993-05-13,34.51
1993-05-14,34.48
1993-05-17,34.61
1993-05-18,34.59
1993-05-19,35.29
1993-05-20,35.39
1993-05-21,35.07
1993-05-24,35.22
1993-05-25,35.29
1993-05-26,35.73
1993-05-27,35.61
1993-05-28,35.44
1993-06-01,35.79
1993-06-02,35.73
1993-06-03,35.61
1993-06-04,35.49
1993-06-07,35.37
1993-06-08,35.05
1993-06-09,35.17
1993-06-10,35.2
1993-06-11,35.34
1993-06-14,35.29
1993-06-15,35.22
1993-06-16,35.29
1993-06-17,35.42
1993-06-18,35.1
1993-06-21,35.17
1993-06-22,35.2
1993-06-23,34.87
1993-06-24,35.34
1993-06-25,35.32
1993-06-28,35.71
1993-06-29,35.54
1993-06-30,35.54
1993-07-01,35.44
1993-07-02,35.25
1993-07-06,34.87
1993-07-07,34.97
1993-07-08,35.36
1993-07-09,35.47
1993-07-12,35.44
1993-07-13,35.42
1993-07-14,35.54
1993-07-15,35.4
1993-07-16,35.29
1993-07-19,35.27
1993-07-20,35.36
1993-07-21,35.34
1993-07-22,35.1
1993-07-23,35.27
1993-07-26,35.47
1993-07-27,35.44
1993-07-28,35.36
1993-07-29,35.56
1993-07-30,35.36
1993-08-02,35.47
1993-08-03,35.49
1993-08-04,35.49
1993-08-05,35.42
1993-08-06,35.47
1993-08-09,35.66
1993-08-10,35.64
1993-08-11,35.64
1993-08-12,35.54
1993-08-13,35.59
1993-08-16,35.79
1993-08-17,35.91
1993-08-18,36.11
1993-08-19,36.11
1993-08-20,36.13
1993-08-23,36.06
1993-08-24,36.45
1993-08-25,36.48
1993-08-26,36.5
1993-08-27,36.48
1993-08-30,36.63
1993-08-31,36.72
1993-09-01,36.67
1993-09-02,36.55
1993-09-03,36.58
1993-09-07,36.33
1993-09-08,36.21
1993-09-09,36.28
1993-09-10,36.6
1993-09-13,36.63
1993-09-14,36.48
1993-09-15,36.58
1993-09-16,36.43
1993-09-17,36.35
1993-09-20,36.06
1993-09-21,35.93
1993-09-22,36.23
1993-09-23,36.43
1993-09-24,36.33
1993-09-27,36.72
1993-09-28,36.65
1993-09-29,36.53
1993-09-30,36.45
1993-10-01,36.63
1993-10-04,36.68
1993-10-05,36.63
1993-10-06,36.6
1993-10-07,36.5
1993-10-08,36.55
1993-10-11,36.63
1993-10-12,36.68
1993-10-13,36.68
1993-10-14,37.14
1993-10-15,37.34
1993-10-18,37.25
1993-10-19,36.97
1993-10-20,37.03
1993-10-21,36.97
1993-10-22,36.8
1993-10-25,36.9
1993-10-26,36.87
1993-10-27,36.9
1993-10-28,37.17
1993-10-29,37.17
1993-11-01,37.27
1993-11-02,37.25
1993-11-03,36.77
1993-11-04,36.37
1993-11-05,36.55
1993-11-08,36.6
1993-11-09,36.63
1993-11-10,36.9
1993-11-11,36.8
1993-11-12,36.97
1993-11-15,36.95
1993-11-16,37.12
1993-11-17,36.92
1993-11-18,36.83
1993-11-19,36.75
1993-11-22,36.53
1993-11-23,36.72
1993-11-24,36.87
1993-11-26,36.9
1993-11-29,36.75
1993-11-30,36.77
1993-12-01,36.83
1993-12-02,36.92
1993-12-03,37.07
1993-12-06,37.2
1993-12-07,37.17
1993-12-08,37.17
1993-12-09,37.05
1993-12-10,36.97
1993-12-13,37.2
1993-12-14,36.92
1993-12-15,36.87
1993-12-16,37.0
1993-12-17,37.17
1993-12-20,37.23
1993-12-21,37.1
1993-12-22,37.35
1993-12-23,37.32
1993-12-27,37.52
1993-12-28,37.59
1993-12-29,37.55
1993-12-30,37.39
1993-12-31,37.19
1994-01-03,37.1
1994-01-04,37.25
1994-01-05,37.32
1994-01-06,37.32
1994-01-07,37.55
1994-01-10,37.99
1994-01-11,37.92
1994-01-12,37.79
1994-01-13,37.7
1994-01-14,37.85
1994-01-17,37.85
1994-01-18,37.9
1994-01-19,37.79
1994-01-20,37.9
1994-01-21,37.83
1994-01-24,37.67
1994-01-25,37.67
1994-01-26,37.77
1994-01-27,38.12
1994-01-28,38.22
1994-01-31,38.5
1994-02-01,38.3
1994-02-02,38.54
